RI,Na,Mg,Al,Si,K,Ca,Ba,Fe,Class
0.0933483836,-0.691868608,0.676610289,-0.4230030826,-0.1461126675,0.1352774689,-0.140503769,-0.354181716,3.0134836213,2
1.7408322275,-0.1355491055,0.6149790978,-1.2113155575,-0.947830555,-0.5438445955,0.992148437,-0.354181716,-0.2918510708,1
-0.5749368199,0.1667984502,0.6081311877,0.0086918442,-0.3119853339,0.1624423515,-0.6878256403,-0.354181716,-0.6017261981,2
-0.1854015943,0.5658972237,0.6286749181,-0.1977709469,0.0750508876,-0.0548767091,-0.7866476449,-0.354181716,-0.6017261981,1
-0.221138771,-0.7402442169,0.6081311877,-0.2165402915,0.4759098314,0.1352774689,-0.2089190029,-0.354181716,-0.6017261981,1
1.4227713552,0.9287142905,0.7519373006,-1.0423914557,-1.8186620534,-0.3944377413,0.2091740933,-0.354181716,3.2200670396,3
0.0576112069,-0.2202064211,0.8341122223,-0.1039242237,-0.4778580003,0.0402003799,-0.4217663973,-0.354181716,0.4311908931,2
0.0683323599,-0.1113613011,0.4506292545,0.1400772566,-0.740489722,0.0537828212,0.0951487034,-0.354181716,-0.6017261981,3
0.5865214215,0.4691460059,0.6149790978,-0.2728483254,-1.3210440543,-0.5438445955,-0.1481054616,0.9627594131,-0.6017261981,1
-0.2247124887,-0.7281503147,0.5944353674,0.0462305334,0.102696332,0.0266179386,-0.2621308515,-0.354181716,1.3608162753,1
-0.1746804413,-0.534647879,0.5875874572,-0.4793111165,0.448264387,0.1760247928,-0.2545291588,-0.354181716,-0.6017261981,1
-0.6178214319,-1.0546856748,0.5464999964,0.7594656298,0.7661869975,0.1488599102,-0.5966053284,-0.354181716,0.327899184,2
-0.0853374997,-0.2806759322,0.8341122223,-0.3103870147,-0.4778580003,0.0402003799,-0.3229443928,-0.354181716,2.2904416574,2
3.445495554,-0.9458405548,-1.836572732,-1.4928557271,-0.9063623884,-0.6253392432,4.2076644311,-0.354181716,-0.6017261981,2
5.6469056361,-1.3570332305,-1.836572732,-0.8734673539,-3.4773887171,-0.5438445955,5.5683674168,-0.354181716,1.8772748209,2
0.3756720792,0.7473057571,0.6149790978,-0.1790016022,-0.8234260552,0.0537828212,-0.42936809,-0.354181716,-0.6017261981,1
-1.8364591559,1.1826862373,-0.6450363678,0.1400772566,2.5907863276,-0.7068338909,-0.9690882686,-0.354181716,-0.6017261981,6
